,10140|ALI|252|Advanced Pronunciation|08:00|09:20|Lec|TBA|2.0|MW
,10143|ALI|252|Advanced Pronunciation|11:00|12:20|Lec|TBA|2.0|TH
,10144|ALI|252|Advanced Pronunciation|12:30|13:50|Lec|TBA|2.0|TH
,10145|ALI|254|Academic and Professional Speaking Skills IV|17:00|18:20|Lec|TBA|2.0|MW
,10146|ALI|254|Academic and Professional Speaking Skills IV|17:00|18:20|Lec|TBA|2.0|TH
,10148|ALI|255|Academic and Professional Writing Skills IV|18:30|19:50|Lec|TBA|2.0|MW
,10149|ALI|255|Academic and Professional Writing Skills IV|16:00|17:20|Lec|TBA|2.0|TH
,10153|ALI|256|High Intermediate Oral Communication for ITAs|14:00|15:50|Lec|TBA|3.0|TH
,10154|ALI|270|Advanced Oral Communication for ITAs|10:00|11:50|Lec|TBA|3.0|MW
,10155|ALI|270|Advanced Oral Communication for ITAs|12:00|13:50|Lec|TBA|3.0|MW
,10156|ALI|270|Advanced Oral Communication for ITAs|10:00|11:50|Lec|TBA|3.0|TH
,10159|ALI|271|Language Tutorial for International Teaching Assistants|08:00|09:50|Lec|TBA|2.0|F
,10164|ALI|274|Advanced Academic and Professional Spoken English|14:00|15:20|Lec|TBA|2.0|MW
,10165|ALI|274|Advanced Academic and Professional Spoken English|17:00|18:20|Lec|TBA|2.0|TH
,10166|ALI|274|Advanced Academic and Professional Spoken English|19:00|20:20|Lec|TBA|2.0|TH
,10169|ALI|275|Writing for Publication and Dissertations|15:30|16:50|Lec|James Polk|2.0|MW
,10170|ALI|275|Writing for Publication and Dissertations|16:00|17:20|Lec|Mary Ann Murphy|2.0|MW
,10171|ALI|275|Writing for Publication and Dissertations|15:30|16:50|Lec|Mary Ann Murphy|2.0|TH
,10173|ALI|275|Writing for Publication and Dissertations|14:00|16:50|Lec|James Polk|2.0|F
,10310|AMST|101|Race and Class in Los Angeles|09:30|10:50|Lec|Joshua Mitchell|4.0|TH
,10311|AMST|101|Race and Class in Los Angeles|10:00|10:50|Dis|TBA|0.0|F
,10312|AMST|101|Race and Class in Los Angeles|11:00|11:50|Dis|TBA|0.0|F
,10313|AMST|101|Race and Class in Los Angeles|12:00|12:50|Dis|TBA|0.0|T
,10314|AMST|101|Race and Class in Los Angeles|12:00|12:50|Dis|TBA|0.0|H
,10315|AMST|101|Race and Class in Los Angeles|13:00|13:50|Dis|TBA|0.0|M
,10316|AMST|101|Race and Class in Los Angeles|13:00|13:50|Dis|TBA|0.0|W
,10320|AMST|135|Peoples and Cultures of the Americas|11:00|12:20|Lec|Shawn McDaniel|4.0|TH
,10321|AMST|135|Peoples and Cultures of the Americas|10:00|10:50|Dis|TBA|0.0|F
,10322|AMST|135|Peoples and Cultures of the Americas|11:00|11:50|Dis|TBA|0.0|F
,10323|AMST|135|Peoples and Cultures of the Americas|10:00|10:50|Dis|TBA|0.0|W
,10324|AMST|135|Peoples and Cultures of the Americas|10:00|10:50|Dis|TBA|0.0|M
